Plant_ID,Height_cm,Leaf_Count,New_Growth_Count,Health_Notes,Watering_Amount_ml,Watering_Frequency_days,Sunlight_Exposure,Room_Temperature_C,Humidity_%,Fertilizer_Type,Fertilizer_Amount_ml,Pest_Presence,Pest_Severity,Soil_Moisture_%,Soil_Type,Health_Score
Sansevieria cylindrica,17.39,17,8,Yellowing leaves,205,3,3h direct morning sun,21.7,77.5,Organic,82,Fungus gnats,Moderate,51.9,Clay,1
Aloe vera,9.84,31,9,None,191,1,3h direct morning sun,22.6,68.9,None,91,Aphids,Low,28.2,Loamy,2
Ficus lyrata,19.82,40,8,Brittle leaves,477,5,Indirect light all day,17.2,44.3,Liquid feed,90,None,High,13.6,Sandy,1
Monstera deliciosa,37.08,11,1,New bud,207,1,Low light corner,25,72.2,Compost,76,Fungus gnats,Low,38.4,Sandy,4
Ficus lyrata,2.96,26,3,Wilting,465,2,Filtered sunlight through curtain,23.2,51.6,Compost,37,Fungus gnats,Low,37.9,Peaty,1
Ficus lyrata,14.63,14,6,None,375,6,Low light corner,26.9,71.4,Chemical,42,Whiteflies,High,52.5,Clay,4
Calathea orbifolia,23.73,43,1,Strong stem,420,1,3h direct morning sun,20.7,71.1,Liquid feed,20,Fungus gnats,None,59.8,Silty,1
Anthurium andraeanum,16.23,19,0,Strong stem,393,4,Filtered sunlight through curtain,22.1,39.4,None,90,Spider mites,None,35.4,Clay,1
Ficus lyrata,19.73,19,2,None,311,1,6h full sun,19.5,65.1,Liquid feed,61,None,Low,27.3,Clay,5
Anthurium andraeanum,19.88,8,3,None,332,3,Filtered sunlight through curtain,21,44.5,Liquid feed,45,None,High,19.3,Clay,2
Nephrolepis exaltata,22.42,36,7,None,387,1,Low light corner,20.5,44.9,Compost,69,None,None,10.2,Peaty,2
Zamioculcas zamiifolia,17.71,27,5,Wilting,393,6,Indirect light all day,27,44.8,None,37,Fungus gnats,Moderate,35.5,Loamy,3
Monstera deliciosa,16.89,10,1,Yellowing leaves,278,2,6h full sun,21.9,66.3,Organic,48,Fungus gnats,Low,37.8,Peaty,5
Spathiphyllum wallisii,34.34,28,8,Wilting,425,1,Low light corner,24.4,41.5,Compost,74,None,None,51.2,Silty,5
Zamioculcas zamiifolia,35.5,24,1,Dark green color,329,4,6h full sun,22.9,30,None,80,Aphids,High,35.2,Loamy,2
Begonia maculata,11.19,41,4,Brittle leaves,407,5,Filtered sunlight through curtain,20.2,65.8,Chemical,38,Aphids,High,55.8,Silty,5
Aloe vera,-2.6,24,3,None,339,1,3h direct morning sun,23.5,38.6,Compost,70,Spider mites,Low,41.4,Chalky,2
Peperomia obtusifolia,35.63,16,6,Brittle leaves,217,1,Low light corner,25.8,35.2,Chemical,29,Whiteflies,High,52,Chalky,5
Monstera deliciosa,12.71,37,7,Yellowing leaves,96,3,Indirect light all day,20.4,41.9,Compost,20,Spider mites,Moderate,17.4,Loamy,1
